strain,location,collection_date,ID,serum,antigenic_distance,Tree_model_log2,Subs_model_log2
B/Ghana/DILI-14-0878/2014,Ghana,2014-11-04,EPI562339,B/Malaysia/2506/2004,2.6,2.55,3.13
B/Ghana/DILI-15-174/2015,Ghana,2015-02-26,EPIHA,B/Malaysia/2506/2004,2.6,2.55,3.13
B/Ghana/DILI-14-0878/2014,Ghana,2014-11-04,EPI562339,B/Malaysia/2506/2004,2.6,2.55,3.13
B/Ghana/DILI-0572/2014,Ghana,2014-06-16,EPI540649,B/Malaysia/2506/2004,2.6,2.55,3.13
B/Ghana/DILI-0572/2014,Ghana,2014-06-16,EPI540649,B/Malaysia/2506/2004,2.6,2.55,3.13
B/Ghana/DILI-0572/2014,Ghana,2014-06-16,EPI540649,B/Malaysia/2506/2004,2.6,2.55,3.13
B/Gambia/G0141336/2013,Gambia,2013-10-18,EPI536437,B/Malaysia/2506/2004,2.6,2.55,3.13
B/Kumamoto/46/2014,Japan,2013-03-14,EPI540677,B/Malaysia/2506/2004,2.6,2.55,3.13
B/Kumamoto/46/2014,Japan,2013-03-14,EPI540677,B/Malaysia/2506/2004,2.6,2.55,3.13
B/Dakar/21/2013,Senegal,2013-09-26,EPI517137,B/Malaysia/2506/2004,2.6,2.55,3.13
B/Dakar/21/2013,Senegal,2013-09-26,EPI517137,B/Malaysia/2506/2004,2.6,2.55,3.13
B/Gambia/G0139336/2013,Gambia,2013-10-08,EPI536435,B/Malaysia/2506/2004,2.6,2.55,3.13
B/Gambia/G0139336/2013,Gambia,2013-10-08,EPI536435,B/Malaysia/2506/2004,2.6,2.55,3.13
B/Gambia/G0139336/2013,Gambia,2013-10-08,EPI536435,B/Malaysia/2506/2004,2.6,2.55,3.13
B/Cameroon/14V-7839/2014,Cameroon,2014-10-30,EPI562328,B/Malaysia/2506/2004,2.6,2.53,3.13
B/Cameroon/14V-7837/2014,Cameroon,2014-10-27,EPI562326,B/Malaysia/2506/2004,2.6,2.53,3.13
B/Cameroon/743/2014,Cameroon,2014-02-05,EPI543168,B/Malaysia/2506/2004,2.6,2.53,3.13
B/Cameroon/743/2014,Cameroon,2014-02-05,EPI543168,B/Malaysia/2506/2004,2.6,2.53,3.13
B/Bratislava/911/2013,Slovakia,2013-03-20,EPI464723,B/Malaysia/2506/2004,2.6,2.53,3.13
B/Bratislava/911/2013,Slovakia,2013-03-20,EPI464723,B/Malaysia/2506/2004,2.6,2.53,3.13
B/Cameroon/4681/2014,Cameroon,2014-07-09,EPI540635,B/Malaysia/2506/2004,3.9,3.9,3.13
B/Cameroon/14V-8639/2014,Cameroon,2014-11-25,EPI574746,B/Malaysia/2506/2004,3.9,3.9,3.13
B/Cameroon/14V-8586/2014,Cameroon,2014-11-24,EPI574744,B/Malaysia/2506/2004,3.9,3.9,3.13
B/Cameroon/2080/2014,Cameroon,2014-03-24,EPI543165,B/Malaysia/2506/2004,3.9,3.9,3.13
B/Cameroon/2080/2014,Cameroon,2014-03-24,EPI543165,B/Malaysia/2506/2004,3.9,3.9,3.13
B/Cameroon/4314/2014,Cameroon,2014-06-25,EPI540633,B/Malaysia/2506/2004,3.9,3.9,3.13
B/Cameroon/2080/2014,Cameroon,2014-03-24,EPI543165,B/Malaysia/2506/2004,3.9,3.9,3.13
B/Ghana/DILI-14-1032/2014,Ghana,2014-11-10,EPI562341,B/Malaysia/2506/2004,2.6,2.53,3.13
B/Baden-Wurttemberg/3/2014,Germany,2014-10-24,EPI555185,B/Malaysia/2506/2004,2.6,2.53,3.13
B/Ghana/DILI-0506/2014,Ghana,2014-05-27,EPI540645,B/Malaysia/2506/2004,2.6,2.53,3.13
B/Ghana/DILI-0506/2014,Ghana,2014-05-27,EPI540645,B/Malaysia/2506/2004,2.6,2.53,3.13
B/Ghana/DILI-0434/2014,Ghana,2014-04-28,EPI540641,B/Malaysia/2506/2004,2.6,2.53,3.13
B/Yunnan-Gucheng/1948/2014,China,2014-06-27,EPI549746,B/Malaysia/2506/2004,2.6,2.53,3.13
B/Tokat/143/2014,Turkey,2014-01-08,EPI505339,B/Malaysia/2506/2004,2.9,2.92,3.13
B/Cankiri/348/2014,Turkey,2014-01-17,EPI515257,B/Malaysia/2506/2004,2.9,2.92,3.13
B/SouthAfrica/662/2014,South Africa,2014-02-27,EPI539454,B/Malaysia/2506/2004,2.6,2.53,3.13
B/Cameroon/2293/2014,Cameroon,2014-04-03,EPI540631,B/Malaysia/2506/2004,2.6,2.53,3.13
B/Wisconsin/05/2013,U S A,2013-11-06,EPI507610,B/Malaysia/2506/2004,2.6,2.53,3.13
B/Wisconsin/05/2013,U S A,2013-11-06,EPI507610,B/Malaysia/2506/2004,2.6,2.53,3.13
B/CotedIvoire/2091/2013,Ivory Coast,2013-12-03,EPI515265,B/Malaysia/2506/2004,2.6,2.53,3.13
B/Cameroon/2315/2014,Cameroon,2014-03-31,EPI543167,B/Malaysia/2506/2004,2.6,2.53,3.13
B/Cameroon/2315/2014,Cameroon,2014-03-31,EPI543167,B/Malaysia/2506/2004,2.6,2.53,3.13
B/CotedIvoire/2091/2013,Ivory Coast,2013-12-03,EPI515265,B/Malaysia/2506/2004,2.6,2.53,3.13
B/Moscow/33/2013,Russia,2013-03-13,EPI467144,B/Malaysia/2506/2004,2.6,2.53,3.13
B/Jiangxi-Xunyang/1689/2014,China,2014-09-05,EPI551128,B/Malaysia/2506/2004,2.6,2.53,3.13
B/Moscow/33/2013,Russia,2013-03-13,EPI467144,B/Malaysia/2506/2004,2.6,2.53,3.13
B/Centre/1496/2013,France,2013-03-28,EPI465880,B/Malaysia/2506/2004,2.6,2.53,3.13
B/Toulon/2950/2013,France,2013-10-23,EPI502592,B/Malaysia/2506/2004,2.6,2.53,3.13
B/Centre/1496/2013,France,2013-03-28,EPI465880,B/Malaysia/2506/2004,2.6,2.53,3.13
B/Tomsk/1/2014,Russia,2014-04-26,EPI539458,B/Malaysia/2506/2004,2.6,2.53,3.13
B/Moscow/44/2013,Russia,2013-03-05,EPI467146,B/Malaysia/2506/2004,2.6,2.53,3.13
B/HongKong/3298/2014,Hong Kong,2014-05-21,EPI536445,B/Malaysia/2506/2004,2.6,2.53,3.13
B/England/373/2014,United Kingdom,2014-03-12,EPI533068,B/Malaysia/2506/2004,2.6,2.53,3.39
B/HongKong/3298/2014,Hong Kong,2014-05-21,EPI536445,B/Malaysia/2506/2004,2.6,2.53,3.13
B/HongKong/3298/2014,Hong Kong,2014-05-21,EPI536445,B/Malaysia/2506/2004,2.6,2.53,3.13
B/HongKong/3221/2014,Hong Kong,2014-05-08,EPI536441,B/Malaysia/2506/2004,2.6,2.53,3.13
B/HongKong/3221/2014,Hong Kong,2014-05-08,EPI536441,B/Malaysia/2506/2004,2.6,2.53,3.13
B/HongKong/3224/2014,Hong Kong,2014-05-09,EPI536443,B/Malaysia/2506/2004,2.6,2.53,3.13
B/HongKong/3224/2014,Hong Kong,2014-05-09,EPI536443,B/Malaysia/2506/2004,2.6,2.53,3.13
B/HongKong/3224/2014,Hong Kong,2014-05-09,EPI536443,B/Malaysia/2506/2004,2.6,2.53,3.13
B/HongKong/3224/2014,Hong Kong,2014-05-09,EPI536443,B/Malaysia/2506/2004,2.6,2.53,3.13
B/BuenosAires/R335/2012,Argentina,2012-11-01,EPI406242,B/Malaysia/2506/2004,2.3,2.3,2.33
B/BuenosAires/770/2012,Argentina,2012-07-06,EPI406282,B/Malaysia/2506/2004,2.3,2.3,2.33
B/SantaFe/915530/2012,U S A,2012-08-21,EPI406323,B/Malaysia/2506/2004,2.3,2.3,2.33
B/Slovenia/1190/2013,Slovenia,2013-03-11,EPI460614,B/Malaysia/2506/2004,2.3,2.3,2.33
B/Slovenia/527/2013,Slovenia,2013-02-03,EPI460624,B/Malaysia/2506/2004,2.3,2.3,2.33
B/Hungary/05/2013,Hungary,2013-02-27,EPI461894,B/Malaysia/2506/2004,2.3,2.3,2.33
B/Hungary/05/2013,Hungary,2013-02-27,EPI461894,B/Malaysia/2506/2004,2.3,2.3,2.33
B/Hungary/05/2013,Hungary,2013-02-27,EPI461894,B/Malaysia/2506/2004,2.3,2.3,2.33
B/Caen/1623/2012,France,2012-10-24,EPI416268,B/Malaysia/2506/2004,2.3,2.3,2.33
B/Caen/1623/2012,France,2012-10-24,EPI416268,B/Malaysia/2506/2004,2.3,2.3,2.33
B/Caen/1623/2012,France,2012-10-24,EPI416268,B/Malaysia/2506/2004,2.3,2.3,2.33
B/Valladolid/99/2012,Spain,2012-12-20,EPI417765,B/Malaysia/2506/2004,2.3,2.3,2.33
B/Ireland/87829/2012,Ireland,2012-11-19,EPI445951,B/Malaysia/2506/2004,2.3,2.3,2.33
B/Valladolid/93/2013,Spain,2013-03-13,EPI460638,B/Malaysia/2506/2004,2.3,2.3,2.33
B/Valladolid/93/2013,Spain,2013-03-13,EPI460638,B/Malaysia/2506/2004,2.3,2.3,2.33
B/Valladolid/93/2013,Spain,2013-03-13,EPI460638,B/Malaysia/2506/2004,2.3,2.3,2.33
B/Norway/2402/2012,Norway,2012-11-27,EPI417718,B/Malaysia/2506/2004,2.5,2.46,3.13
B/Norway/1958/2013,Norway,2013-03-25,EPI468229,B/Malaysia/2506/2004,2.5,2.46,3.13
B/England/322/2012,United Kingdom,2012-02-29,EPI377703,B/Malaysia/2506/2004,2.8,2.81,2.33
B/SachenAnhalt/1/2012,Unknown,2012-01-01,EPI352438,B/Malaysia/2506/2004,2.3,2.3,2.33
B/England/322/2012,United Kingdom,2012-02-29,EPI377703,B/Malaysia/2506/2004,2.8,2.81,2.33
B/Lyon/2696/2012,France,2012-12-06,EPI431358,B/Malaysia/2506/2004,2.3,2.3,2.33
B/Picardie/1254/2013,France,2013-03-06,EPI465874,B/Malaysia/2506/2004,2.3,2.3,2.33
B/Lyon/2696/2012,France,2012-12-06,EPI431358,B/Malaysia/2506/2004,2.3,2.3,2.33
B/Denmark/5/2012,Denmark,2012-02-27,EPI379920,B/Malaysia/2506/2004,2.3,2.3,2.33
B/NAGASAKI/68/2015,Japan,2015-05-25,EPIHA,B/Malaysia/2506/2004,2.3,2.26,2.72
B/Victoria/847/2015,Australia,2015-08-03,EPIHA,B/Malaysia/2506/2004,2.3,2.26,2.72
B/Hawaii/14/2015,U S A,2015-06-11,EPIHA,B/Malaysia/2506/2004,2.3,2.26,2.72
B/Hawaii/14/2015,U S A,2015-06-11,EPIHA,B/Malaysia/2506/2004,2.3,2.26,2.72
B/Wisconsin/45/2015,U S A,2015-04-27,EPIHA,B/Malaysia/2506/2004,2.3,2.26,2.72
B/BuenosAires/10987831/2014,Argentina,2014-06-19,EPI543163,B/Malaysia/2506/2004,2.3,2.26,2.72
B/BuenosAires/10987831/2014,Argentina,2014-06-19,EPI543163,B/Malaysia/2506/2004,2.3,2.26,2.72
B/SantaFe/1211/2014,U S A,2014-06-19,EPI543170,B/Malaysia/2506/2004,2.3,2.26,2.72
B/Berlin/1/2014,Germany,2014-01-15,EPI505323,B/Malaysia/2506/2004,2.6,2.55,2.72
B/BuenosAires/10978573/2014,Argentina,2014-07-07,EPI543159,B/Malaysia/2506/2004,2.6,2.55,2.72
B/VICTORIA/813/2013,Australia,2013-08-21,EPI491353,B/Malaysia/2506/2004,2.6,2.55,2.72
B/Iceland/66/2014,Iceland,2014-03-18,EPI536455,B/Malaysia/2506/2004,2.3,2.26,2.72
B/Florida/07/2013,U S A,2013-11-07,EPI492847,B/Malaysia/2506/2004,2.6,2.55,2.72
B/Norway/2090/2013,Norway,2013-04-14,EPI468231,B/Malaysia/2506/2004,2.3,2.26,2.72
B/England/226/2013,United Kingdom,2013-02-01,EPI445937,B/Malaysia/2506/2004,2.3,2.26,2.72
B/England/226/2013,United Kingdom,2013-02-01,EPI445937,B/Malaysia/2506/2004,2.3,2.26,2.72
B/England/226/2013,United Kingdom,2013-02-01,EPI445937,B/Malaysia/2506/2004,2.3,2.26,2.72
B/Hungary/07/2013,Hungary,2013-02-27,EPI461896,B/Malaysia/2506/2004,2.3,2.26,1.86
B/Florida/30/2014,U S A,2014-08-26,EPI550831,B/Malaysia/2506/2004,2.3,2.26,2.72
B/Florida/30/2014,U S A,2014-08-26,EPI550831,B/Malaysia/2506/2004,2.3,2.26,2.72
B/Florida/30/2014,U S A,2014-08-26,EPI550831,B/Malaysia/2506/2004,2.3,2.26,2.72
B/Florida/30/2014,U S A,2014-08-26,EPI550831,B/Malaysia/2506/2004,2.3,2.26,2.72
B/Zamora/102/2013,Spain,2013-03-19,EPI460644,B/Malaysia/2506/2004,2.3,2.25,2.72
B/Bretagne/1591/2013,France,2013-04-17,EPI477341,B/Malaysia/2506/2004,2.3,2.25,2.72
B/Uruguay/177/2013,Uruguay,2013-06-10,EPI468104,B/Malaysia/2506/2004,2.3,2.25,2.72
B/HongKong/3608/2012,Hong Kong,2012-11-09,EPI431334,B/Malaysia/2506/2004,2.3,2.25,2.72
B/St.Petersburg/18/2012,Russia,2012-04-13,EPI379930,B/Malaysia/2506/2004,2.3,2.25,2.33
B/Darwin/17/2015,Australia,2015-07-07,EPIHA,B/Malaysia/2506/2004,2.0,1.95,2.33
B/Brandenburg/2/2014,Germany,2014-02-10,EPI515241,B/Malaysia/2506/2004,2.8,2.73,2.33
B/SachsenAnhalt/13/2013,Germany,2013-11-29,EPI500373,B/Malaysia/2506/2004,2.8,2.73,2.33
B/Darwin/17/2015,Australia,2015-07-07,EPIHA,B/Malaysia/2506/2004,2.0,1.95,2.33
B/AICHI/62/2013,Japan,2013-10-15,EPI497547,B/Malaysia/2506/2004,2.0,1.95,2.33
B/AICHI/62/2013,Japan,2013-10-15,EPI497547,B/Malaysia/2506/2004,2.0,1.95,2.33
B/Mauritius/678/2012,Mauritius,2012-07-21,EPI406295,B/Malaysia/2506/2004,1.6,1.61,1.47
B/Mauritius/678/2012,Mauritius,2012-07-21,EPI406295,B/Malaysia/2506/2004,1.6,1.61,1.47
B/Mauritius/614/2012,Mauritius,2012-07-11,EPI406293,B/Malaysia/2506/2004,1.6,1.61,2.33
B/Mauritius/571/2012,Mauritius,2012-06-29,EPI406291,B/Malaysia/2506/2004,1.6,1.61,2.33
B/Norway/2389/2012,Norway,2012-11-28,EPI417717,B/Malaysia/2506/2004,1.8,1.75,2.33
B/Sachsen/26/2012,Germany,2012-12-18,EPI417763,B/Malaysia/2506/2004,1.8,1.75,2.33
B/Sachsen/26/2012,Germany,2012-12-18,EPI417763,B/Malaysia/2506/2004,1.8,1.75,2.33
B/Sachsen/26/2012,Germany,2012-12-18,EPI417763,B/Malaysia/2506/2004,1.8,1.75,2.33
B/Sachsen/26/2012,Germany,2012-12-18,EPI417763,B/Malaysia/2506/2004,1.8,1.75,2.33
B/PaysdeLoire/1222/2013,France,2013-03-05,EPI477389,B/Malaysia/2506/2004,1.8,1.75,2.33
B/Blida/113/2012,Algeria,2012-11-08,EPI431320,B/Malaysia/2506/2004,1.8,1.75,2.33
B/Djibouti/IP1157/2012,Djibouti,2012-03-24,EPI392566,B/Malaysia/2506/2004,1.8,1.74,2.33
B/Finland/310/2013,Finland,2013-01-14,EPI433372,B/Malaysia/2506/2004,2.2,2.17,2.33
B/Finland/293/2012,Finland,2012-11-08,EPI398731,B/Malaysia/2506/2004,2.2,2.17,2.33
B/HongKong/3501/2012,Hong Kong,2012-05-01,EPI392577,B/Malaysia/2506/2004,2.2,2.13,2.33
B/England/507/2012,United Kingdom,2012-04-04,EPI377707,B/Malaysia/2506/2004,2.2,2.13,2.33
B/Norway/2368/2011,Norway,2011-12-05,EPI352434,B/Malaysia/2506/2004,2.2,2.13,2.33
B/Ukraine/5376/2012,Ukraine,2012-03-26,EPI379946,B/Malaysia/2506/2004,2.2,2.13,2.33
B/Ukraine/5376/2012,Ukraine,2012-03-26,EPI379946,B/Malaysia/2506/2004,2.2,2.13,2.33
B/England/626/2012,United Kingdom,2012-12-06,EPI416451,B/Malaysia/2506/2004,2.3,2.28,2.76
B/England/579/2012,United Kingdom,2012-10-30,EPI408059,B/Malaysia/2506/2004,2.3,2.28,2.76
B/England/579/2012,United Kingdom,2012-10-30,EPI408059,B/Malaysia/2506/2004,2.3,2.28,2.76
B/England/579/2012,United Kingdom,2012-10-30,EPI408059,B/Malaysia/2506/2004,2.3,2.28,2.76
B/Formosa/V2367/2012,Argentina,2012-08-06,EPI406250,B/Malaysia/2506/2004,2.1,2.03,2.76
B/Formosa/V2367/2012,Argentina,2012-08-06,EPI406250,B/Malaysia/2506/2004,2.1,2.03,2.76
B/Milano/101/2013,Italy,2013-02-19,EPI464757,B/Malaysia/2506/2004,2.1,2.03,2.76
B/Milano/101/2013,Italy,2013-02-19,EPI464757,B/Malaysia/2506/2004,2.1,2.03,2.76
B/Leon/116/2013,Spain,2013-03-26,EPI460594,B/Malaysia/2506/2004,2.1,2.03,2.76
