strain,location,collection_date,ID,serum,antigenic_distance,Tree_model_log2,Subs_model_log2
B/Madrid/15046/2014,Spain,2014-12-15,EPI557944,B/Shanghai/361/2002,3.1,2.79,2.5
B/Madrid/052/2015,Spain,2014-12-30,EPI557942,B/Shanghai/361/2002,3.1,2.79,2.5
B/CastillaLaMancha/2083/2014,Spain,2014-12-11,EPI555197,B/Shanghai/361/2002,3.1,2.79,2.5
B/CastillaLaMancha/2083/2014,Spain,2014-12-11,EPI555197,B/Shanghai/361/2002,3.1,2.79,2.5
B/CastillaLaMancha/2083/2014,Spain,2014-12-11,EPI555197,B/Shanghai/361/2002,3.1,2.79,2.5
B/Clermont-Ferrand/2467/2014,France,2014-12-17,EPI556940,B/Shanghai/361/2002,3.1,2.79,2.5
B/Bretagne/2216/2014,France,2014-11-24,EPI555191,B/Shanghai/361/2002,3.1,2.79,2.5
B/Bretagne/2216/2014,France,2014-11-24,EPI555191,B/Shanghai/361/2002,3.1,2.79,2.5
B/Bretagne/2216/2014,France,2014-11-24,EPI555191,B/Shanghai/361/2002,3.1,2.79,2.5
B/Algiers/09/2014,Algeria,2014-10-12,EPI562322,B/Shanghai/361/2002,3.1,2.79,2.5
B/Algiers/09/2014,Algeria,2014-10-12,EPI562322,B/Shanghai/361/2002,3.1,2.79,2.5
B/Bangkok/42/2015,Thailand,2015-06-06,EPIHA,B/Shanghai/361/2002,3.1,2.79,2.5
B/Malaysia/943/2015,Malaysia,2015-04-01,EPIHA,B/Shanghai/361/2002,2.9,2.59,2.5
B/Ukraine/6/2015,Ukraine,2014-12-30,EPI557966,B/Shanghai/361/2002,2.9,2.59,2.5
B/Ghom/90199/2014,Iran,2014-12-28,EPI556946,B/Shanghai/361/2002,2.9,2.59,2.5
B/Centre/2213/2014,France,2014-11-25,EPI555199,B/Shanghai/361/2002,3.5,3.19,2.85
B/Ukraine/6/2015,Ukraine,2014-12-30,EPI557966,B/Shanghai/361/2002,2.9,2.59,2.5
B/Paris/2052/2014,France,2014-10-27,EPI555213,B/Shanghai/361/2002,3.5,3.19,2.85
B/Switzerland/10295792/2014,Switzerland,2014-03-27,EPI530731,B/Shanghai/361/2002,2.9,2.59,2.5
B/Centre/2213/2014,France,2014-11-25,EPI555199,B/Shanghai/361/2002,3.5,3.19,2.85
B/Paris/2052/2014,France,2014-10-27,EPI555213,B/Shanghai/361/2002,3.5,3.19,2.85
B/Ukraine/497/2014,Ukraine,2014-12-20,EPI557964,B/Shanghai/361/2002,3.2,2.85,2.85
B/Ukraine/497/2014,Ukraine,2014-12-20,EPI557964,B/Shanghai/361/2002,3.2,2.85,2.85
B/SouthAfrica/4380/2014,South Africa,2014-06-06,EPI539452,B/Shanghai/361/2002,2.4,2.07,2.85
B/SouthAfrica/4380/2014,South Africa,2014-06-06,EPI539452,B/Shanghai/361/2002,2.4,2.07,2.85
B/Tunisia/14192/2014,Tunisia,2014-12-11,EPI562361,B/Shanghai/361/2002,2.4,2.07,2.85
B/SouthAfrica/4380/2014,South Africa,2014-06-06,EPI539452,B/Shanghai/361/2002,2.4,2.07,2.85
B/Lisboa/12/2014,Portugal,2014-12-22,EPI558616,B/Shanghai/361/2002,3.0,2.62,2.85
B/Lisboa/1/2015,Portugal,2015-01-04,EPI557934,B/Shanghai/361/2002,3.0,2.62,2.85
B/Lisboa/1/2015,Portugal,2015-01-04,EPI557934,B/Shanghai/361/2002,3.0,2.62,2.85
B/Netherlands/382/2014,Netherlands,2014-10-16,EPI556956,B/Shanghai/361/2002,2.4,2.07,2.57
B/Jordan/20555/2014,Jordan,2014-12-17,EPI562343,B/Shanghai/361/2002,2.4,2.07,2.57
B/Jordan/20555/2014,Jordan,2014-12-17,EPI562343,B/Shanghai/361/2002,2.4,2.07,2.57
B/Lyon/2455/2014,France,2014-12-16,EPI556952,B/Shanghai/361/2002,3.0,2.62,2.85
B/Jordan/20555/2014,Jordan,2014-12-17,EPI562343,B/Shanghai/361/2002,2.4,2.07,2.57
B/Jordan/20555/2014,Jordan,2014-12-17,EPI562343,B/Shanghai/361/2002,2.4,2.07,2.57
B/Uralsk/155/2015,Russia,2015-02-13,EPIHA,B/Shanghai/361/2002,2.4,2.07,2.85
B/Finland/471/2014,Finland,2014-12-15,EPI562338,B/Shanghai/361/2002,2.5,2.16,2.57
B/Uralsk/155/2015,Russia,2015-02-13,EPIHA,B/Shanghai/361/2002,2.4,2.07,2.85
B/Norway/2558/2015,Norway,2015-07-01,EPIHA,B/Shanghai/361/2002,2.4,2.07,2.85
B/Uralsk/155/2015,Russia,2015-02-13,EPIHA,B/Shanghai/361/2002,2.4,2.07,2.85
B/Paris/2058/2014,France,2014-09-25,EPI555215,B/Shanghai/361/2002,3.1,2.8,2.85
B/Switzerland/457/2014,Switzerland,2014-12-17,EPI557958,B/Shanghai/361/2002,3.1,2.8,2.85
B/Lisboa/7/2014,Portugal,2014-12-01,EPI558608,B/Shanghai/361/2002,3.1,2.8,2.85
B/Bayern/1/2014,Germany,2014-02-10,EPI515237,B/Shanghai/361/2002,3.1,2.8,2.85
B/Bayern/1/2014,Germany,2014-02-10,EPI515237,B/Shanghai/361/2002,3.1,2.8,2.85
B/Bayern/1/2014,Germany,2014-02-10,EPI515237,B/Shanghai/361/2002,3.1,2.8,2.85
B/SaoPaulo/3-36401/2015,Brazil,2015-08-06,EPIHA,B/Shanghai/361/2002,2.4,2.07,2.85
B/England/522/2014,United Kingdom,2014-11-14,EPI555203,B/Shanghai/361/2002,2.4,2.07,2.85
B/SaoPaulo/3-36401/2015,Brazil,2015-08-06,EPIHA,B/Shanghai/361/2002,2.4,2.07,2.85
B/Switzerland/9943612/2014,Switzerland,2014-01-22,EPI530733,B/Shanghai/361/2002,2.4,2.07,2.85
B/SouthAustralia/22/2015,Australia,2015-05-04,EPIHA,B/Shanghai/361/2002,2.4,2.07,2.85
B/Switzerland/9943612/2014,Switzerland,2014-01-22,EPI530733,B/Shanghai/361/2002,2.4,2.07,2.85
B/Stockholm/5/2014,Sweden,2014-04-21,EPI520345,B/Shanghai/361/2002,2.4,2.07,2.85
B/Stockholm/5/2014,Sweden,2014-04-21,EPI520345,B/Shanghai/361/2002,2.4,2.07,2.85
B/Centre/1663/2014,France,2014-05-12,EPI540639,B/Shanghai/361/2002,2.4,2.07,2.85
B/Stockholm/5/2014,Sweden,2014-04-21,EPI520345,B/Shanghai/361/2002,2.4,2.07,2.85
B/Latvia/12-016677/2014,Latvia,2014-12-06,EPI557930,B/Shanghai/361/2002,2.6,2.26,2.85
B/Latvia/12-016677/2014,Latvia,2014-12-06,EPI557930,B/Shanghai/361/2002,2.6,2.26,2.85
B/Latvia/12-043751/2014,Latvia,2014-12-16,EPI557932,B/Shanghai/361/2002,2.6,2.26,2.85
B/Latvia/12-043751/2014,Latvia,2014-12-16,EPI557932,B/Shanghai/361/2002,2.6,2.26,2.85
B/Anhui-Guichi/1736/2014,China,2014-11-03,EPI554664,B/Shanghai/361/2002,2.4,2.07,2.85
B/SantaFe/1149/2014,U S A,2014-07-02,EPI543214,B/Shanghai/361/2002,2.4,2.07,2.85
B/Anhui-Guichi/1736/2014,China,2014-11-03,EPI554664,B/Shanghai/361/2002,2.4,2.07,2.85
B/Anhui-Guichi/1736/2014,China,2014-11-03,EPI554664,B/Shanghai/361/2002,2.4,2.07,2.85
B/Anhui-Guichi/1736/2014,China,2014-11-03,EPI554664,B/Shanghai/361/2002,2.4,2.07,2.85
B/WAKAYAMA/130/2014,Japan,2014-09-26,EPI554544,B/Shanghai/361/2002,2.4,2.07,2.85
B/Lisboa/10/2014,Portugal,2014-12-18,EPI557936,B/Shanghai/361/2002,2.4,2.07,2.85
B/WAKAYAMA/130/2014,Japan,2014-09-26,EPI554544,B/Shanghai/361/2002,2.4,2.07,2.85
B/Lisboa/10/2014,Portugal,2014-12-18,EPI557936,B/Shanghai/361/2002,2.4,2.07,2.85
B/England/515/2014,United Kingdom,2014-10-22,EPI555201,B/Shanghai/361/2002,2.4,2.07,2.85
B/Madagascar/3124/2014,Madagascar,2014-10-22,EPI562347,B/Shanghai/361/2002,2.4,2.07,2.85
B/Valladolid/1/2015,Spain,2015-01-08,EPI562366,B/Shanghai/361/2002,2.4,2.07,2.85
B/Valladolid/1/2015,Spain,2015-01-08,EPI562366,B/Shanghai/361/2002,2.4,2.07,2.85
B/Greece/8/2014,Greece,2014-12-30,EPI557918,B/Shanghai/361/2002,2.4,2.07,2.85
B/HongKong/3787/2014,Hong Kong,2014-11-20,EPI556962,B/Shanghai/361/2002,2.4,2.07,2.85
B/Norway/3322/2014,Norway,2014-12-15,EPI574834,B/Shanghai/361/2002,3.6,3.24,2.85
B/Norway/3085/2014,Norway,2014-11-24,EPI555207,B/Shanghai/361/2002,3.6,3.24,2.85
B/Norway/3136/2014,Norway,2014-12-07,EPI574832,B/Shanghai/361/2002,3.6,3.24,2.85
B/Norway/3078/2014,Norway,2014-11-24,EPI553167,B/Shanghai/361/2002,3.6,3.24,2.85
B/Norway/3078/2014,Norway,2014-11-24,EPI553167,B/Shanghai/361/2002,3.6,3.24,2.85
B/Norway/2011/2014,Norway,2014-06-19,EPI541113,B/Shanghai/361/2002,2.4,2.07,2.85
B/Norway/2011/2014,Norway,2014-06-19,EPI541113,B/Shanghai/361/2002,2.4,2.07,2.85
B/Norway/2011/2014,Norway,2014-06-19,EPI541113,B/Shanghai/361/2002,2.4,2.07,2.85
B/Norway/2011/2014,Norway,2014-06-19,EPI541113,B/Shanghai/361/2002,2.4,2.07,2.85
B/Jordan/30244/2014,Jordan,2014-05-14,EPI552049,B/Shanghai/361/2002,2.4,2.07,2.85
B/Firenze/1/2014,Italy,2014-01-07,EPI502569,B/Shanghai/361/2002,2.4,2.07,2.85
B/Norway/3238/2014,Norway,2014-12-19,EPI562355,B/Shanghai/361/2002,2.4,2.07,2.85
B/PaisVasco/1978/2014,Spain,2014-10-21,EPI555211,B/Shanghai/361/2002,2.4,2.07,2.85
B/Egypt/ALX6527/2014,Egypt,2014-05-01,EPI549762,B/Shanghai/361/2002,2.4,2.07,2.85
B/Roma/4/2014,Italy,2014-12-30,EPI557954,B/Shanghai/361/2002,2.4,2.07,2.85
B/Norway/3229/2013,Norway,2013-12-13,EPI497700,B/Shanghai/361/2002,2.4,2.07,2.85
B/Norway/1877/2014,Norway,2014-05-21,EPI541111,B/Shanghai/361/2002,2.4,2.07,2.85
B/Norway/1877/2014,Norway,2014-05-21,EPI541111,B/Shanghai/361/2002,2.4,2.07,2.85
B/Norway/1877/2014,Norway,2014-05-21,EPI541111,B/Shanghai/361/2002,2.4,2.07,2.85
B/Thuringen/3/2014,Germany,2014-11-08,EPI555221,B/Shanghai/361/2002,2.4,2.07,2.85
B/HongKong/3423/2014,Hong Kong,2014-06-05,EPI536451,B/Shanghai/361/2002,2.4,2.07,2.85
B/HongKong/3419/2014,Hong Kong,2014-06-04,EPI536449,B/Shanghai/361/2002,2.4,2.07,2.85
B/Iceland/78/2014,Iceland,2014-05-28,EPI536459,B/Shanghai/361/2002,2.4,2.07,2.85
B/Paris/2535/2013,France,2013-12-28,EPI500371,B/Shanghai/361/2002,2.4,2.07,2.85
B/LaReunion/2047/2014,Reunion,2014-05-30,EPI540655,B/Shanghai/361/2002,2.4,2.07,2.85
B/Ireland/13M95631/2013,Ireland,2013-11-21,EPI500367,B/Shanghai/361/2002,2.4,2.07,2.85
B/Ireland/13M95631/2013,Ireland,2013-11-21,EPI500367,B/Shanghai/361/2002,2.4,2.07,2.85
B/Ireland/13M95631/2013,Ireland,2013-11-21,EPI500367,B/Shanghai/361/2002,2.4,2.07,2.85
B/Ireland/13M95631/2013,Ireland,2013-11-21,EPI500367,B/Shanghai/361/2002,2.4,2.07,2.85
B/Ireland/13M95631/2013,Ireland,2013-11-21,EPI500367,B/Shanghai/361/2002,2.4,2.07,2.85
B/Navarra/15036/2014,Spain,2014-12-29,EPI557948,B/Shanghai/361/2002,2.1,1.77,2.74
B/Moscow/10/2014,Russia,2014-03-21,EPI539440,B/Shanghai/361/2002,2.1,1.77,2.74
B/Utah/09/2014,U S A,2014-05-29,EPI538119,B/Shanghai/361/2002,2.1,1.73,2.74
